"part_num","color_id","quantity"
"3023",0,22
"3024",0,22
"3623",0,20
"11477",0,18
"99207",71,18
"2780",0,17
"3666",0,16
"22385",0,14
"3710",0,14
"99563",0,13
"10247",72,12
"2877",72,12
"61409",72,12
"6141",4,12
"11153",0,10
"2412b",71,10
"6141",72,10
"98138",46,10
"2419",72,9
"6558",1,9
"85984",72,9
"15573",19,8
"3021",72,8
"3070b",72,8
"32054",4,8
"3665",0,8
"4865b",0,8
"60477",0,8
"6106",0,8
"6231",0,8
"63864",72,8
"98138",36,8
"3020",0,7
"3020",72,7
"3666",71,7
"4274",71,7
"6141",182,7
"2412b",72,6
"24201",71,6
"2431",0,6
"3004",1,6
"3005",71,6
"3005",0,6
"3023",70,6
"3024",4,6
"3623",14,6
"4274",1,6
"43093",1,6
"44301a",71,6
"44302a",72,6
"44728",72,6
"6179",0,6
"6541",4,6
"15068",0,5
"3069b",4,5
"3069b",72,5
"60219",0,5
"85984",0,5
"99781",71,5
"11477",72,4
"13731",0,4
"15535",72,4
"15573",4,4
"22885",71,4
"2412b",0,4
"2653",0,4
"2654",46,4
"3001",0,4
"3001",1,4
"3004",0,4
"3005",182,4
"3022",0,4
"3023",71,4
"3024",72,4
"3032",0,4
"30377",72,4
"3038",0,4
"3069b",0,4
"3070b",0,4
"32000",15,4
"32000",14,4
"32028",72,4
"32028",4,4
"3460",0,4
"3460",4,4
"3710",4,4
"3795",0,4
"4070",72,4
"4070",71,4
"4185",72,4
"44728",71,4
"4624",71,4
"51739",71,4
"59443",0,4
"59895",0,4
"59900",80,4
"6141",46,4
"6541",1,4
"6636",72,4
"85861",71,4
"87079",0,4
"92280",71,4
"98100",71,4
"98138",47,4
"99206",0,4
"14769",14,3
"15303",57,3
"2654",182,3
"3002",0,3
"3009",0,3
"3021",70,3
"3021",0,3
"3022",1,3
"3022",71,3
"32531",71,3
"3700",4,3
"3710",72,3
"59443",4,3
"93273",0,3
"98138",34,3
"11090",72,2
"11211",71,2
"11212",71,2
"13349",72,2
"13971",4,2
"15400",72,2
"15712",72,2
"16968",71,2
"18575",0,2
"18653",0,2
"18671",72,2
"18938",0,2
"18939",71,2
"2412b",70,2
"2412b",4,2
"2420",71,2
"2431",72,2
"2449",0,2
"2460",72,2
"298c02",71,2
"3001",15,2
"3003",1,2
"3004",4,2
"3004",71,2
"3008",72,2
"3021",71,2
"3022",15,2
"3030",0,2
"3031",0,2
"3035",72,2
"3035",0,2
"30374",71,2
"3039",0,2
"3040b",72,2
"30414",0,2
"3045",0,2
"3046a",0,2
"30504",0,2
"3068b",72,2
"32000",72,2
"32062",4,2
"32064a",4,2
"32123b",71,2
"32187",71,2
"32474",71,2
"3460",1,2
"3622",72,2
"3622",0,2
"3665",15,2
"3665",14,2
"3675",0,2
"3700",0,2
"3710",14,2
"3710",1,2
"3794b",15,2
"3958",0,2
"4032a",0,2
"4081b",4,2
"4162",72,2
"41677",72,2
"42023",72,2
"4286",72,2
"44224",72,2
"44225",71,2
"4477",72,2
"4477",0,2
"4510",4,2
"4600",0,2
"4740",52,2
"4742",72,2
"50950",0,2
"54200",46,2
"54383",0,2
"54384",0,2
"55013",72,2
"59443",71,2
"60478",71,2
"60478",72,2
"60479",0,2
"6111",0,2
"62462",71,2
"63868",72,2
"63868",71,2
"63965",71,2
"6541",15,2
"6541",14,2
"6589",19,2
"85940",0,2
"87407",71,2
"88646",0,2
"90194",72,2
"92584",0,2
"92947",0,2
"92950",0,2
"93274",72,2
"98138",52,2
"10113",0,1
"14769pr1079",15,1
"15456",0,1
"15573",0,1
"17485pr0002",4,1
"18587",71,1
"18588",0,1
"19185",0,1
"21019x037pat01pr1177",78,1
"21849pr0003",46,1
"22889",0,1
"24087pr0002",0,1
"24299",0,1
"24307",0,1
"2654",15,1
"27145",14,1
"28798pr0114",4,1
"29453",14,1
"29709pr0001",70,1
"298c02",15,1
"30031",72,1
"3007",71,1
"3010",72,1
"3020",1,1
"3022",70,1
"3023",36,1
"30236",0,1
"3031",72,1
"3034",0,1
"3035",71,1
"30355",0,1
"30356",0,1
"3039",70,1
"30414",71,1
"32138",71,1
"3298",72,1
"3626cpr2102",78,1
"3626cpr2157",15,1
"3626cpr9998",78,1
"3703",71,1
"3705",4,1
"3707",4,1
"3709",15,1
"3738",71,1
"3795",4,1
"3795",15,1
"3832",0,1
"4032a",14,1
"41747",0,1
"41748",0,1
"41769",0,1
"41770",0,1
"41854",0,1
"42060",0,1
"42061",0,1
"4286",0,1
"4286",4,1
"43722",0,1
"43722",72,1
"43723",72,1
"43723",0,1
"43857",71,1
"44294",71,1
"47458",0,1
"47720",0,1
"48336",71,1
"50304",72,1
"50304",0,1
"50305",0,1
"50305",72,1
"50955",0,1
"50956",0,1
"54200",4,1
"54200",0,1
"60594",72,1
"63965",15,1
"6585",0,1
"85984",70,1
"87079",70,1
"87083",72,1
"88930",0,1
"92593",71,1
"92692",15,1
"96874",25,1
"970c00",0,1
"970d01pr1290",0,1
"973pr3642c01",4,1
"973pr3650",0,1
"973pr3866c09",0,1
"98285",71,1
"98286",71,1
"98375",179,1
"98721",0,1
